condition,calibrator,episode,coverage_certified,coverage_allk,steps,success
speed_mid,aci,33,0.989501312335958,0.9714566929133859,127,1
speed_mid,aci,34,0.9745370370370371,0.9509009368857854,132,1
speed_mid,aci,35,0.9868881118881119,0.9744318181818182,286,1
speed_mid,aci,36,0.9841849148418491,0.9631995133819952,137,1
speed_mid,aci,37,0.9892923649906891,0.9784683426443203,179,1
speed_mid,aci,38,0.9805725971370143,0.9469580777096115,163,1
speed_mid,aci,39,0.9935064935064936,0.9821428571428571,154,1
speed_mid,dtaci,0,0.9717981340118744,0.9431772920322539,131,1
speed_mid,dtaci,1,0.9775051124744376,0.9593558282208589,163,1
speed_mid,dtaci,2,0.9878205128205129,0.9747070237454852,130,1
speed_mid,dtaci,3,0.9797588285960379,0.9570265400691758,129,1
speed_mid,dtaci,4,0.9889937106918238,0.9751375786163522,212,1
speed_mid,dtaci,5,0.9869281045751634,0.9835239651416122,153,1
speed_mid,dtaci,6,0.9934988179669031,0.9802009456264775,141,1
speed_mid,dtaci,7,0.9777070063694268,0.9620488322717622,157,1
speed_mid,dtaci,8,0.9891509433962264,0.9777908805031447,530,1
speed_mid,dtaci,9,0.9876425855513308,0.9756020278833967,263,1
speed_mid,dtaci,10,0.9732456140350877,0.9473684210526315,190,1
speed_mid,dtaci,11,0.9890350877192983,0.9828947368421053,190,1
speed_mid,dtaci,12,0.9927007299270073,0.9849452554744526,137,1
speed_mid,dtaci,13,0.9808006535947712,0.9691955171734583,136,1
speed_mid,dtaci,14,0.9915730337078652,0.9850187265917603,178,1
speed_mid,dtaci,15,0.9815521628498728,0.9541984732824428,131,1
speed_mid,dtaci,16,0.9857918263090677,0.9688188461176966,174,1
speed_mid,dtaci,17,0.98828125,0.9853515625,128,1
speed_mid,dtaci,18,0.9791144527986633,0.9611385238264938,133,1
speed_mid,dtaci,19,0.9832134292565947,0.9628297362110312,139,1
speed_mid,dtaci,20,0.9957264957264957,0.9954594017094017,156,1
speed_mid,dtaci,21,0.9825174825174825,0.9705710955710956,143,1
speed_mid,dtaci,22,0.9836711711711712,0.9607263513513513,148,1
speed_mid,dtaci,23,0.9874055415617129,0.9702455919395466,397,1
speed_mid,dtaci,24,0.9922222222222222,0.9826388888888888,150,1
speed_mid,dtaci,25,0.9892676767676768,0.9756944444444444,132,1
speed_mid,dtaci,26,0.9821772639691715,0.9626685934489403,173,1
speed_mid,dtaci,27,0.9847560975609756,0.9714176829268293,164,1
speed_mid,dtaci,28,0.9874254049445865,0.9735187553282183,391,1
speed_mid,dtaci,29,0.9851190476190477,0.9666666666666667,140,1
speed_mid,dtaci,30,0.9852941176470589,0.9690563725490197,136,1
speed_mid,dtaci,31,0.9816666666666667,0.9570221815221815,150,1
speed_mid,dtaci,32,0.9933333333333333,0.9809375,200,1
speed_mid,dtaci,33,0.9748858447488584,0.9556221461187214,146,1
speed_mid,dtaci,34,0.985479797979798,0.9711174242424242,132,1
speed_mid,dtaci,35,0.9864130434782609,0.9747131642512077,276,1
speed_mid,dtaci,36,0.9835680751173709,0.9617077464788732,142,1
speed_mid,dtaci,37,0.9908925318761385,0.9789389799635702,183,1
speed_mid,dtaci,38,0.9822695035460993,0.9515366430260047,141,1
speed_mid,dtaci,39,0.9925373134328358,0.9838921098249457,134,1
speed_mid,aci max,0,0.9600694444444444,0.9618930443504308,176,1
speed_mid,aci max,1,0.9454424484364604,0.9258802353113731,167,1
speed_mid,aci max,2,0.9806967984934086,0.9844044256120528,118,1
speed_mid,aci max,3,0.9296296296296296,0.9120326004585264,135,1
speed_mid,aci max,4,0.9636279926335175,0.9707412523020258,181,1
speed_mid,aci max,5,0.9484386347131445,0.9408791765000916,153,1
speed_mid,aci max,6,0.9386904761904762,0.952485827664399,140,1
speed_mid,aci max,7,0.9303451178451179,0.9447074915824916,132,1
speed_mid,aci max,8,0.9452203600248293,0.9458585512356462,179,1
speed_mid,aci max,9,0.9532952069716776,0.9577439309056957,204,1
speed_mid,aci max,10,0.9474288337924701,0.9310720844811754,121,1
speed_mid,aci max,11,0.9282273603082851,0.9317784121252329,173,1
speed_mid,aci max,12,0.960387902695595,0.9582652390344698,169,1
speed_mid,aci max,13,0.950025367833587,0.9397892970381555,219,1
speed_mid,aci max,14,0.9418145956607495,0.9408201840894148,169,1
speed_mid,aci max,15,0.9514374514374514,0.954911754911755,143,1
speed_mid,aci max,16,0.9705284552845529,0.9825965447154471,164,1
speed_mid,aci max,17,0.9535519125683061,0.9484376355277995,122,1
speed_mid,aci max,18,0.9192357096981374,0.9321480408908155,173,1
